Username,Time_created,Description
USER0023,2024-12-12 06:00:45,Garden GAR0001 irrigation system detected an issue.
USER0023,2024-12-13 18:00:35,Garden GAR0001 is experiencing abnormal light fluctuations.
USER0023,2024-12-18 06:00:50,Temperature regulation failure detected in Garden GAR0001.
USER0023,2024-12-26 06:00:35,Garden GAR0001 is experiencing abnormal light fluctuations.
USER0023,2025-01-06 06:00:50,Temperature regulation failure detected in Garden GAR0001.
USER0023,2025-01-17 06:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2025-01-19 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2025-01-21 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2025-01-22 06:00:50,Heating system in Garden GAR0001 is malfunctioning.
USER0023,2025-02-01 06:00:45,Watering system in Garden GAR0001 failed to activate.
USER0023,2025-02-13 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2025-02-25 06:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2025-02-28 18:00:50,Temperature regulation failure detected in Garden GAR0001.
USER0023,2025-03-11 06:00:45,Watering system in Garden GAR0001 failed to activate.
USER0023,2025-03-12 06:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2025-03-14 18:00:50,Heating system in Garden GAR0001 is malfunctioning.
USER0067,2024-01-16 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2024-01-16 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2024-01-17 18:00:35,Garden GAR0002 is experiencing abnormal light fluctuations.
USER0056,2024-01-17 18:00:35,Garden GAR0002 is experiencing abnormal light fluctuations.
USER0067,2024-01-26 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0056,2024-01-26 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0067,2024-01-27 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2024-01-27 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2024-01-29 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-01-29 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-01-31 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-01-31 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-02-07 06:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0056,2024-02-07 06:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0067,2024-02-09 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2024-02-09 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2024-02-28 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-02-28 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-02-28 18:00:35,Garden GAR0002 is experiencing abnormal light fluctuations.
USER0056,2024-02-28 18:00:35,Garden GAR0002 is experiencing abnormal light fluctuations.
USER0067,2024-03-01 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2024-03-01 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2024-03-13 06:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0056,2024-03-13 06:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0067,2024-03-26 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2024-03-26 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2024-03-31 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-03-31 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-04-23 06:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0056,2024-04-23 06:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0067,2024-05-01 06:00:35,Garden GAR0002 is experiencing abnormal light fluctuations.
USER0056,2024-05-01 06:00:35,Garden GAR0002 is experiencing abnormal light fluctuations.
USER0067,2024-05-03 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0056,2024-05-03 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0067,2024-06-02 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2024-06-02 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2024-06-07 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2024-06-07 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2024-06-09 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-06-09 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-06-13 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-06-13 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-06-18 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-06-18 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-06-21 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2024-06-21 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2024-07-20 06:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0056,2024-07-20 06:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0067,2024-07-21 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-07-21 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-07-28 18:00:45,Garden GAR0002 irrigation system detected an issue.
USER0056,2024-07-28 18:00:45,Garden GAR0002 irrigation system detected an issue.
USER0067,2024-08-06 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2024-08-06 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2024-08-06 18:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0056,2024-08-06 18:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0067,2024-08-14 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2024-08-14 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2024-08-15 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2024-08-15 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2024-08-23 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-08-23 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-08-25 06:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0056,2024-08-25 06:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0067,2024-08-26 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-08-26 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-09-12 18:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0056,2024-09-12 18:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0067,2024-09-15 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-09-15 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-10-06 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2024-10-06 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2024-10-14 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2024-10-14 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2024-10-15 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-10-15 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-10-30 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-10-30 18:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-11-21 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2024-11-21 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2024-11-30 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0056,2024-11-30 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0067,2024-12-04 06:00:35,Garden GAR0002 is experiencing abnormal light fluctuations.
USER0056,2024-12-04 06:00:35,Garden GAR0002 is experiencing abnormal light fluctuations.
USER0067,2024-12-07 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2024-12-07 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2024-12-17 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2024-12-17 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2024-12-24 18:00:45,Garden GAR0002 irrigation system detected an issue.
USER0056,2024-12-24 18:00:45,Garden GAR0002 irrigation system detected an issue.
USER0067,2025-01-02 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2025-01-02 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2025-01-05 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2025-01-05 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2025-01-11 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0056,2025-01-11 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0067,2025-01-23 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2025-01-23 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2025-02-04 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2025-02-04 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2025-02-05 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0056,2025-02-05 06:00:55,Cooling system in Garden GAR0002 is not operating correctly.
USER0067,2025-02-11 18:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0056,2025-02-11 18:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0067,2025-02-17 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2025-02-17 06:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2025-02-24 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2025-02-24 18:00:55,Garden GAR0002 cooling system is underperforming.
USER0067,2025-03-08 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0056,2025-03-08 18:00:45,Watering system in Garden GAR0002 failed to activate.
USER0067,2025-03-11 18:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0056,2025-03-11 18:00:50,Heating system in Garden GAR0002 is malfunctioning.
USER0067,2025-03-12 18:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0056,2025-03-12 18:00:50,Temperature regulation failure detected in Garden GAR0002.
USER0067,2025-03-17 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0056,2025-03-17 06:00:45,Garden GAR0002 irrigation system detected an issue.
USER0067,2025-03-19 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0056,2025-03-19 06:00:55,Garden GAR0002 cooling system is underperforming.
USER0046,2024-01-01 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0043,2024-01-01 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0046,2024-01-12 06:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0043,2024-01-12 06:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0046,2024-01-17 06:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0043,2024-01-17 06:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0046,2024-01-20 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2024-01-20 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2024-01-22 06:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0043,2024-01-22 06:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0046,2024-01-30 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2024-01-30 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2024-02-02 18:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0043,2024-02-02 18:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0046,2024-02-07 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2024-02-07 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2024-02-09 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0043,2024-02-09 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0046,2024-02-25 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2024-02-25 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2024-02-26 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-02-26 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-02-28 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2024-02-28 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2024-03-04 06:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0043,2024-03-04 06:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0046,2024-03-05 18:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0043,2024-03-05 18:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0046,2024-03-06 18:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0043,2024-03-06 18:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0046,2024-03-23 18:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2024-03-23 18:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2024-03-24 18:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0043,2024-03-24 18:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0046,2024-03-26 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2024-03-26 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2024-03-29 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-03-29 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-04-04 06:00:45,Garden GAR0003 irrigation system detected an issue.
USER0043,2024-04-04 06:00:45,Garden GAR0003 irrigation system detected an issue.
USER0046,2024-04-05 06:00:35,Garden GAR0003 is experiencing abnormal light fluctuations.
USER0043,2024-04-05 06:00:35,Garden GAR0003 is experiencing abnormal light fluctuations.
USER0046,2024-04-29 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2024-04-29 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2024-05-04 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-05-04 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-05-20 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-05-20 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-05-28 18:00:35,Garden GAR0003 is experiencing abnormal light fluctuations.
USER0043,2024-05-28 18:00:35,Garden GAR0003 is experiencing abnormal light fluctuations.
USER0046,2024-06-05 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2024-06-05 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2024-06-15 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2024-06-15 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2024-06-15 18:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0043,2024-06-15 18:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0046,2024-06-24 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-06-24 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-07-09 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0043,2024-07-09 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0046,2024-07-10 06:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0043,2024-07-10 06:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0046,2024-07-14 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-07-14 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-07-19 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2024-07-19 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2024-07-31 18:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2024-07-31 18:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2024-08-06 18:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2024-08-06 18:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2024-08-31 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-08-31 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-09-04 18:00:45,Garden GAR0003 irrigation system detected an issue.
USER0043,2024-09-04 18:00:45,Garden GAR0003 irrigation system detected an issue.
USER0046,2024-09-05 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0043,2024-09-05 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0046,2024-09-10 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0043,2024-09-10 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0046,2024-09-12 18:00:35,Garden GAR0003 is experiencing abnormal light fluctuations.
USER0043,2024-09-12 18:00:35,Garden GAR0003 is experiencing abnormal light fluctuations.
USER0046,2024-09-13 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2024-09-13 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2024-09-20 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2024-09-20 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2024-09-27 06:00:45,Garden GAR0003 irrigation system detected an issue.
USER0043,2024-09-27 06:00:45,Garden GAR0003 irrigation system detected an issue.
USER0046,2024-09-30 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-09-30 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-10-03 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0043,2024-10-03 18:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0046,2024-10-25 18:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0043,2024-10-25 18:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0046,2024-10-28 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0043,2024-10-28 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0046,2024-11-17 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2024-11-17 06:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2024-11-27 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-11-27 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-11-28 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0043,2024-11-28 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0046,2024-11-29 06:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0043,2024-11-29 06:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0046,2024-12-03 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-12-03 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-12-18 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2024-12-18 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2024-12-18 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-12-18 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2024-12-23 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2024-12-23 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2025-01-06 18:00:45,Garden GAR0003 irrigation system detected an issue.
USER0043,2025-01-06 18:00:45,Garden GAR0003 irrigation system detected an issue.
USER0046,2025-01-23 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2025-01-23 06:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2025-01-27 06:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0043,2025-01-27 06:00:50,Temperature regulation failure detected in Garden GAR0003.
USER0046,2025-01-28 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2025-01-28 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2025-02-01 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2025-02-01 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2025-02-05 06:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0043,2025-02-05 06:00:35,Lighting system in Garden GAR0003 is malfunctioning.
USER0046,2025-02-06 06:00:45,Garden GAR0003 irrigation system detected an issue.
USER0043,2025-02-06 06:00:45,Garden GAR0003 irrigation system detected an issue.
USER0046,2025-02-10 18:00:45,Garden GAR0003 irrigation system detected an issue.
USER0043,2025-02-10 18:00:45,Garden GAR0003 irrigation system detected an issue.
USER0046,2025-02-17 18:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0043,2025-02-17 18:00:55,Cooling system in Garden GAR0003 is not operating correctly.
USER0046,2025-03-06 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2025-03-06 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2025-03-06 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2025-03-06 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2025-03-10 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0043,2025-03-10 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0046,2025-03-11 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2025-03-11 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2025-03-13 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0043,2025-03-13 06:00:50,Heating system in Garden GAR0003 is malfunctioning.
USER0046,2025-03-17 18:00:45,Garden GAR0003 irrigation system detected an issue.
USER0043,2025-03-17 18:00:45,Garden GAR0003 irrigation system detected an issue.
USER0046,2025-03-20 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0043,2025-03-20 18:00:45,Watering system in Garden GAR0003 failed to activate.
USER0046,2025-03-20 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2025-03-20 18:00:55,Garden GAR0003 cooling system is underperforming.
USER0046,2025-03-21 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0043,2025-03-21 06:00:55,Garden GAR0003 cooling system is underperforming.
USER0038,2024-01-15 06:00:45,Garden GAR0004 irrigation system detected an issue.
USER0038,2024-01-18 06:00:45,Watering system in Garden GAR0004 failed to activate.
USER0038,2024-01-24 18:00:45,Garden GAR0004 irrigation system detected an issue.
USER0038,2024-01-25 18:00:55,Cooling system in Garden GAR0004 is not operating correctly.
USER0038,2024-01-31 06:00:35,Garden GAR0004 is experiencing abnormal light fluctuations.
USER0038,2024-02-02 18:00:55,Cooling system in Garden GAR0004 is not operating correctly.
USER0038,2024-02-06 18:00:45,Garden GAR0004 irrigation system detected an issue.
USER0038,2024-02-07 06:00:55,Cooling system in Garden GAR0004 is not operating correctly.
USER0038,2024-02-10 06:00:35,Garden GAR0004 is experiencing abnormal light fluctuations.
USER0038,2024-02-18 06:00:35,Lighting system in Garden GAR0004 is malfunctioning.
